epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
102,78,1,1,4,0,4,----,----,000,1,1,0,98,98
102,78,5,1,4,0,4,----,----,000,1,1,0,98,98
94,78,9,2,4,0,3,---,---,000,1,1,0,98,98
102,78,3,1,4,0,4,----,----,000,1,1,0,98,98
102,78,7,1,4,0,4,----,----,000,1,1,0,98,98
94,78,11,2,4,0,3,---,---,000,1,1,0,98,98
95,79,15,2,4,0,3,---,---,000,1,1,0,98,98
87,79,19,3,4,0,2,--,--,000,1,1,0,98,98
87,79,23,3,4,0,2,--,--,000,1,1,0,98,98
79,79,26,4,4,0,1,-,-,000,1,1,0,98,98
79,79,25,4,4,0,1,-,-,000,1,1,0,98,98
71,79,28,5,4,0,2,--,--,000,1,1,0,98,98
71,79,31,5,4,0,2,--,--,000,1,1,0,98,98
95,79,13,2,4,0,3,---,---,000,2,2,0,196,196
87,79,21,3,4,0,2,--,--,000,2,2,0,196,196
173,157,13,2,4,0,3,---,---,000,16,16,0,23696,23696
165,157,21,3,4,0,2,--,--,000,11,11,0,16291,16291
174,158,13,2,4,0,3,---,---,000,82,82,0,121442,121442
166,158,21,3,4,0,2,--,--,000,82,82,0,121442,121442
175,159,13,2,4,0,3,---,---,000,83,83,0,122923,122923
167,159,21,3,4,0,2,--,--,000,83,83,0,122923,122923
176,160,13,2,4,0,3,---,---,000,81,81,0,119961,119961
168,160,21,3,4,0,2,--,--,000,81,81,0,119961,119961
177,161,13,2,4,0,3,---,---,000,84,84,0,124404,124404
169,161,21,3,4,0,2,--,--,000,83,83,0,122923,122923
178,162,13,2,4,0,3,---,---,000,84,84,0,124404,124404
170,162,21,3,4,0,2,--,--,000,85,85,0,125885,125885
179,163,13,2,4,0,3,---,---,000,83,83,0,122923,122923
171,163,21,3,4,0,2,--,--,000,83,83,0,122923,122923
180,164,13,2,4,0,3,---,---,000,83,83,0,122923,122923
172,164,21,3,4,0,2,--,--,000,83,83,0,122923,122923
181,165,13,2,4,0,3,---,---,000,83,83,0,122923,122923
173,165,21,3,4,0,2,--,--,000,83,83,0,122923,122923
182,166,13,2,4,0,3,---,---,000,83,83,0,122923,122923
174,166,21,3,4,0,2,--,--,000,84,84,0,124404,124404
183,167,13,2,4,0,3,---,---,000,84,84,0,124404,124404
175,167,21,3,4,0,2,--,--,000,83,83,0,122923,122923
184,168,13,2,4,0,3,---,---,000,83,83,0,122923,122923
176,168,21,3,4,0,2,--,--,000,83,83,0,122923,122923
185,169,13,2,4,0,3,---,---,000,83,83,0,122923,122923
177,169,21,3,4,0,2,--,--,000,84,84,0,124404,124404
186,170,13,2,4,0,3,---,---,000,83,83,0,122923,122923
178,170,21,3,4,0,2,--,--,000,82,82,0,121442,121442
187,171,13,2,4,0,3,---,---,000,84,84,0,124404,124404
179,171,21,3,4,0,2,--,--,000,84,84,0,124404,124404
188,172,13,2,4,0,3,---,---,000,82,82,0,121442,121442
180,172,21,3,4,0,2,--,--,000,82,82,0,121442,121442
189,173,13,2,4,0,3,---,---,000,82,82,0,121442,121442
181,173,21,3,4,0,2,--,--,000,82,82,0,121442,121442
190,174,13,2,4,0,3,---,---,000,83,83,0,122923,122923
182,174,21,3,4,0,2,--,--,000,84,84,0,124404,124404
191,175,13,2,4,0,3,---,---,000,84,84,0,124404,124404
183,175,21,3,4,0,2,--,--,000,82,82,0,121442,121442
192,176,13,2,4,0,3,---,---,000,84,84,0,124404,124404
184,176,21,3,4,0,2,--,--,000,85,85,0,125885,125885
193,177,13,2,4,0,3,---,---,000,83,83,0,122923,122923
185,177,21,3,4,0,2,--,--,000,83,83,0,122923,122923
194,178,13,2,4,0,3,---,---,000,84,84,0,124404,124404
186,178,21,3,4,0,2,--,--,000,84,84,0,124404,124404
195,179,13,2,4,0,3,---,---,000,81,81,0,119961,119961
187,179,21,3,4,0,2,--,--,000,82,82,0,121442,121442
196,180,13,2,4,0,3,---,---,000,83,83,0,122923,122923
188,180,21,3,4,0,2,--,--,000,82,82,0,121442,121442
197,181,13,2,4,0,3,---,---,000,83,83,0,122923,122923
189,181,21,3,4,0,2,--,--,000,83,83,0,122923,122923
198,182,13,2,4,0,3,---,---,000,83,83,0,122923,122923
190,182,21,3,4,0,2,--,--,000,83,83,0,122923,122923
199,183,13,2,4,0,3,---,---,000,85,85,0,125885,125885
191,183,21,3,4,0,2,--,--,000,85,85,0,125885,125885
200,184,13,2,4,0,3,---,---,000,84,84,0,124404,124404
192,184,21,3,4,0,2,--,--,000,84,84,0,124404,124404
201,185,13,2,4,0,3,---,---,000,84,84,0,124404,124404
193,185,21,3,4,0,2,--,--,000,85,85,0,125885,125885
202,186,13,2,4,0,3,---,---,000,79,79,0,116999,116999
194,186,21,3,4,0,2,--,--,000,79,79,0,116999,116999
203,187,13,2,4,0,3,---,---,000,83,83,0,122923,122923
195,187,21,3,4,0,2,--,--,000,83,83,0,122923,122923
204,188,13,2,4,0,3,---,---,000,84,84,0,124404,124404
196,188,21,3,4,0,2,--,--,000,84,84,0,124404,124404
205,189,13,2,4,0,3,---,---,000,82,82,0,121442,121442
197,189,21,3,4,0,2,--,--,000,82,82,0,121442,121442
206,190,13,2,4,0,3,---,---,000,83,83,0,122923,122923
198,190,21,3,4,0,2,--,--,000,83,83,0,122923,122923
207,191,13,2,4,0,3,---,---,000,81,81,0,119961,119961
199,191,21,3,4,0,2,--,--,000,81,81,0,119961,119961
208,192,13,2,4,0,3,---,---,000,81,81,0,119961,119961
200,192,21,3,4,0,2,--,--,000,81,81,0,119961,119961
209,193,13,2,4,0,3,---,---,000,83,83,0,122923,122923
201,193,21,3,4,0,2,--,--,000,83,83,0,122923,122923
210,194,13,2,4,0,3,---,---,000,84,84,0,124404,124404
202,194,21,3,4,0,2,--,--,000,84,84,0,124404,124404
211,195,13,2,4,0,3,---,---,000,81,81,0,119961,119961
203,195,21,3,4,0,2,--,--,000,81,81,0,119961,119961
212,196,13,2,4,0,3,---,---,000,84,84,0,124404,124404
204,196,21,3,4,0,2,--,--,000,83,83,0,122923,122923
213,197,13,2,4,0,3,---,---,000,83,83,0,122923,122923
205,197,21,3,4,0,2,--,--,000,84,84,0,124404,124404
214,198,13,2,4,0,3,---,---,000,84,84,0,124404,124404
206,198,21,3,4,0,2,--,--,000,84,84,0,124404,124404
215,199,13,2,4,0,3,---,---,000,84,84,0,124404,124404
207,199,21,3,4,0,2,--,--,000,83,83,0,122923,122923
216,200,13,2,4,0,3,---,---,000,84,84,0,124404,124404
208,200,21,3,4,0,2,--,--,000,85,85,0,125885,125885
217,201,13,2,4,0,3,---,---,000,83,83,0,122923,122923
209,201,21,3,4,0,2,--,--,000,83,83,0,122923,122923
218,202,13,2,4,0,3,---,---,000,84,84,0,124404,124404
210,202,21,3,4,0,2,--,--,000,83,83,0,122923,122923
219,203,13,2,4,0,3,---,---,000,84,84,0,124404,124404
211,203,21,3,4,0,2,--,--,000,84,84,0,124404,124404
220,204,13,2,4,0,3,---,---,000,82,82,0,121442,121442
212,204,21,3,4,0,2,--,--,000,83,83,0,122923,122923
221,205,13,2,4,0,3,---,---,000,82,82,0,121442,121442
213,205,21,3,4,0,2,--,--,000,82,82,0,121442,121442
222,206,13,2,4,0,3,---,---,000,84,84,0,124404,124404
214,206,21,3,4,0,2,--,--,000,83,83,0,122923,122923
223,207,13,2,4,0,3,---,---,000,82,82,0,121442,121442
215,207,21,3,4,0,2,--,--,000,83,83,0,122923,122923
224,208,13,2,4,0,3,---,---,000,83,83,0,122923,122923
216,208,21,3,4,0,2,--,--,000,83,83,0,122923,122923
225,209,13,2,4,0,3,---,---,000,81,81,0,119961,119961
217,209,21,3,4,0,2,--,--,000,81,81,0,119961,119961
226,210,13,2,4,0,3,---,---,000,83,83,0,122923,122923
218,210,21,3,4,0,2,--,--,000,83,83,0,122923,122923
227,211,13,2,4,0,3,---,---,000,84,84,0,124404,124404
219,211,21,3,4,0,2,--,--,000,84,84,0,124404,124404
228,212,13,2,4,0,3,---,---,000,84,84,0,124404,124404
220,212,21,3,4,0,2,--,--,000,83,83,0,122923,122923
229,213,13,2,4,0,3,---,---,000,83,83,0,122923,122923
221,213,21,3,4,0,2,--,--,000,84,84,0,124404,124404
230,214,13,2,4,0,3,---,---,000,82,82,0,121442,121442
222,214,21,3,4,0,2,--,--,000,82,82,0,121442,121442
231,215,13,2,4,0,3,---,---,000,84,84,0,124404,124404
223,215,21,3,4,0,2,--,--,000,84,84,0,124404,124404
232,216,13,2,4,0,3,---,---,000,83,83,0,122923,122923
224,216,21,3,4,0,2,--,--,000,83,83,0,122923,122923
233,217,13,2,4,0,3,---,---,000,83,83,0,122923,122923
225,217,21,3,4,0,2,--,--,000,83,83,0,122923,122923
234,218,13,2,4,0,3,---,---,000,84,84,0,124404,124404
226,218,21,3,4,0,2,--,--,000,84,84,0,124404,124404
235,219,13,2,4,0,3,---,---,000,83,83,0,122923,122923
227,219,21,3,4,0,2,--,--,000,83,83,0,122923,122923
236,220,13,2,4,0,3,---,---,000,83,83,0,122923,122923
228,220,21,3,4,0,2,--,--,000,84,84,0,124404,124404
237,221,13,2,4,0,3,---,---,000,83,83,0,122923,122923
229,221,21,3,4,0,2,--,--,000,82,82,0,121442,121442
238,222,13,2,4,0,3,---,---,000,83,83,0,122923,122923
230,222,21,3,4,0,2,--,--,000,83,83,0,122923,122923
239,223,13,2,4,0,3,---,---,000,84,84,0,124404,124404
231,223,21,3,4,0,2,--,--,000,84,84,0,124404,124404
240,224,13,2,4,0,3,---,---,000,82,82,0,121442,121442
232,224,21,3,4,0,2,--,--,000,82,82,0,121442,121442
241,225,13,2,4,0,3,---,---,000,83,83,0,122923,122923
233,225,21,3,4,0,2,--,--,000,83,83,0,122923,122923
242,226,13,2,4,0,3,---,---,000,84,84,0,124404,124404
234,226,21,3,4,0,2,--,--,000,84,84,0,124404,124404
243,227,13,2,4,0,3,---,---,000,82,82,0,121442,121442
235,227,21,3,4,0,2,--,--,000,82,82,0,121442,121442
244,228,13,2,4,0,3,---,---,000,83,83,0,122923,122923
236,228,21,3,4,0,2,--,--,000,83,83,0,122923,122923
245,229,13,2,4,0,3,---,---,000,82,82,0,121442,121442
237,229,21,3,4,0,2,--,--,000,82,82,0,121442,121442
246,230,13,2,4,0,3,---,---,000,83,83,0,122923,122923
238,230,21,3,4,0,2,--,--,000,83,83,0,122923,122923
247,231,13,2,4,0,3,---,---,000,83,83,0,122923,122923
239,231,21,3,4,0,2,--,--,000,83,83,0,122923,122923
248,232,13,2,4,0,3,---,---,000,83,83,0,122923,122923
240,232,21,3,4,0,2,--,--,000,83,83,0,122923,122923
249,233,13,2,4,0,3,---,---,000,84,84,0,124404,124404
241,233,21,3,4,0,2,--,--,000,83,83,0,122923,122923
250,234,13,2,4,0,3,---,---,000,82,82,0,121442,121442
242,234,21,3,4,0,2,--,--,000,83,83,0,122923,122923
251,235,13,2,4,0,3,---,---,000,83,83,0,122923,122923
243,235,21,3,4,0,2,--,--,000,82,82,0,121442,121442
252,236,13,2,4,0,3,---,---,000,82,82,0,121442,121442
244,236,21,3,4,0,2,--,--,000,83,83,0,122923,122923
253,237,13,2,4,0,3,---,---,000,83,83,0,122923,122923
245,237,21,3,4,0,2,--,--,000,83,83,0,122923,122923
254,238,13,2,4,0,3,---,---,000,83,83,0,122923,122923
246,238,21,3,4,0,2,--,--,000,83,83,0,122923,122923
255,239,13,2,4,0,3,---,---,000,83,83,0,122923,122923
247,239,21,3,4,0,2,--,--,000,83,83,0,122923,122923
256,240,13,2,4,0,3,---,---,000,84,84,0,124404,124404
248,240,21,3,4,0,2,--,--,000,84,84,0,124404,124404
257,241,13,2,4,0,3,---,---,000,82,82,0,121442,121442
249,241,21,3,4,0,2,--,--,000,82,82,0,121442,121442
258,242,13,2,4,0,3,---,---,000,84,84,0,124404,124404
250,242,21,3,4,0,2,--,--,000,84,84,0,124404,124404
259,243,13,2,4,0,3,---,---,000,82,82,0,121442,121442
251,243,21,3,4,0,2,--,--,000,82,82,0,121442,121442
260,244,13,2,4,0,3,---,---,000,82,82,0,121442,121442
252,244,21,3,4,0,2,--,--,000,82,82,0,121442,121442
261,245,13,2,4,0,3,---,---,000,82,82,0,121442,121442
253,245,21,3,4,0,2,--,--,000,82,82,0,121442,121442
262,246,13,2,4,0,3,---,---,000,83,83,0,122923,122923
254,246,21,3,4,0,2,--,--,000,83,83,0,122923,122923
263,247,13,2,4,0,3,---,---,000,83,83,0,122923,122923
255,247,21,3,4,0,2,--,--,000,83,83,0,122923,122923
264,248,13,2,4,0,3,---,---,000,83,83,0,122923,122923
256,248,21,3,4,0,2,--,--,000,83,83,0,122923,122923
265,249,13,2,4,0,3,---,---,000,83,83,0,122923,122923
257,249,21,3,4,0,2,--,--,000,82,82,0,121442,121442
266,250,13,2,4,0,3,---,---,000,82,82,0,121442,121442
258,250,21,3,4,0,2,--,--,000,83,83,0,122923,122923
267,251,13,2,4,0,3,---,---,000,83,83,0,122923,122923
259,251,21,3,4,0,2,--,--,000,83,83,0,122923,122923
268,252,13,2,4,0,3,---,---,000,82,82,0,121442,121442
260,252,21,3,4,0,2,--,--,000,82,82,0,121442,121442
269,253,13,2,4,0,3,---,---,000,83,83,0,122923,122923
261,253,21,3,4,0,2,--,--,000,83,83,0,122923,122923
270,254,13,2,4,0,3,---,---,000,84,84,0,124404,124404
262,254,21,3,4,0,2,--,--,000,84,84,0,124404,124404
271,255,13,2,4,0,3,---,---,000,83,83,0,122923,122923
263,255,21,3,4,0,2,--,--,000,83,83,0,122923,122923
272,256,13,2,4,0,3,---,---,000,81,81,0,119961,119961
264,256,21,3,4,0,2,--,--,000,82,82,0,121442,121442
273,257,13,2,4,0,3,---,---,000,82,82,0,121442,121442
265,257,21,3,4,0,2,--,--,000,81,81,0,119961,119961
274,258,13,2,4,0,3,---,---,000,82,82,0,121442,121442
266,258,21,3,4,0,2,--,--,000,83,83,0,122923,122923
275,259,13,2,4,0,3,---,---,000,85,85,0,125885,125885
267,259,21,3,4,0,2,--,--,000,84,84,0,124404,124404
276,260,13,2,4,0,3,---,---,000,83,83,0,122923,122923
268,260,21,3,4,0,2,--,--,000,84,84,0,124404,124404
277,261,13,2,4,0,3,---,---,000,83,83,0,122923,122923
269,261,21,3,4,0,2,--,--,000,82,82,0,121442,121442
278,262,13,2,4,0,3,---,---,000,84,84,0,124404,124404
270,262,21,3,4,0,2,--,--,000,84,84,0,124404,124404
279,263,13,2,4,0,3,---,---,000,84,84,0,124404,124404
271,263,21,3,4,0,2,--,--,000,84,84,0,124404,124404
280,264,13,2,4,0,3,---,---,000,82,82,0,121442,121442
272,264,21,3,4,0,2,--,--,000,82,82,0,121442,121442
281,265,13,2,4,0,3,---,---,000,82,82,0,121442,121442
273,265,21,3,4,0,2,--,--,000,82,82,0,121442,121442
282,266,13,2,4,0,3,---,---,000,85,85,0,125885,125885
274,266,21,3,4,0,2,--,--,000,85,85,0,125885,125885
283,267,13,2,4,0,3,---,---,000,83,83,0,122923,122923
275,267,21,3,4,0,2,--,--,000,83,83,0,122923,122923
284,268,13,2,4,0,3,---,---,000,83,83,0,122923,122923
276,268,21,3,4,0,2,--,--,000,83,83,0,122923,122923
285,269,13,2,4,0,3,---,---,000,82,82,0,121442,121442
277,269,21,3,4,0,2,--,--,000,83,83,0,122923,122923
286,270,13,2,4,0,3,---,---,000,83,83,0,122923,122923
278,270,21,3,4,0,2,--,--,000,82,82,0,121442,121442
287,271,13,2,4,0,3,---,---,000,84,84,0,124404,124404
279,271,21,3,4,0,2,--,--,000,84,84,0,124404,124404
288,272,13,2,4,0,3,---,---,000,84,84,0,124404,124404
280,272,21,3,4,0,2,--,--,000,84,84,0,124404,124404
289,273,13,2,4,0,3,---,---,000,84,84,0,124404,124404
281,273,21,3,4,0,2,--,--,000,84,84,0,124404,124404
290,274,13,2,4,0,3,---,---,000,81,81,0,119961,119961
282,274,21,3,4,0,2,--,--,000,82,82,0,121442,121442
291,275,13,2,4,0,3,---,---,000,83,83,0,122923,122923
283,275,21,3,4,0,2,--,--,000,82,82,0,121442,121442
292,276,13,2,4,0,3,---,---,000,85,85,0,125885,125885
284,276,21,3,4,0,2,--,--,000,86,86,0,127366,127366
293,277,13,2,4,0,3,---,---,000,84,84,0,124404,124404
285,277,21,3,4,0,2,--,--,000,83,83,0,122923,122923
294,278,13,2,4,0,3,---,---,000,83,83,0,122923,122923
286,278,21,3,4,0,2,--,--,000,83,83,0,122923,122923
295,279,13,2,4,0,3,---,---,000,84,84,0,124404,124404
287,279,21,3,4,0,2,--,--,000,83,83,0,122923,122923
296,280,13,2,4,0,3,---,---,000,84,84,0,124404,124404
288,280,21,3,4,0,2,--,--,000,84,84,0,124404,124404
297,281,13,2,4,0,3,---,---,000,83,83,0,122923,122923
289,281,21,3,4,0,2,--,--,000,82,82,0,121442,121442
298,282,13,2,4,0,3,---,---,000,83,83,0,122923,122923
290,282,21,3,4,0,2,--,--,000,84,84,0,124404,124404
299,283,13,2,4,0,3,---,---,000,83,83,0,122923,122923
291,283,21,3,4,0,2,--,--,000,83,83,0,122923,122923
300,284,13,2,4,0,3,---,---,000,85,85,0,125885,125885
292,284,21,3,4,0,2,--,--,000,85,85,0,125885,125885
301,285,13,2,4,0,3,---,---,000,82,82,0,121442,121442
293,285,21,3,4,0,2,--,--,000,82,82,0,121442,121442
302,286,13,2,4,0,3,---,---,000,82,82,0,121442,121442
294,286,21,3,4,0,2,--,--,000,82,82,0,121442,121442
303,287,13,2,4,0,3,---,---,000,83,83,0,122923,122923
295,287,21,3,4,0,2,--,--,000,84,84,0,124404,124404
304,288,13,2,4,0,3,---,---,000,84,84,0,124404,124404
296,288,21,3,4,0,2,--,--,000,83,83,0,122923,122923
305,289,13,2,4,0,3,---,---,000,83,83,0,122923,122923
297,289,21,3,4,0,2,--,--,000,83,83,0,122923,122923
306,290,13,2,4,0,3,---,---,000,81,81,0,119961,119961
298,290,21,3,4,0,2,--,--,000,81,81,0,119961,119961
307,291,13,2,4,0,3,---,---,000,85,85,0,125885,125885
299,291,21,3,4,0,2,--,--,000,84,84,0,124404,124404
308,292,13,2,4,0,3,---,---,000,83,83,0,122923,122923
300,292,21,3,4,0,2,--,--,000,84,84,0,124404,124404
309,293,13,2,4,0,3,---,---,000,84,84,0,124404,124404
301,293,21,3,4,0,2,--,--,000,84,84,0,124404,124404
310,294,13,2,4,0,3,---,---,000,82,82,0,121442,121442
302,294,21,3,4,0,2,--,--,000,82,82,0,121442,121442
311,295,13,2,4,0,3,---,---,000,83,83,0,122923,122923
303,295,21,3,4,0,2,--,--,000,83,83,0,122923,122923
312,296,13,2,4,0,3,---,---,000,82,82,0,121442,121442
304,296,21,3,4,0,2,--,--,000,83,83,0,122923,122923
313,297,13,2,4,0,3,---,---,000,82,82,0,121442,121442
305,297,21,3,4,0,2,--,--,000,81,81,0,119961,119961
314,298,13,2,4,0,3,---,---,000,83,83,0,122923,122923
306,298,21,3,4,0,2,--,--,000,83,83,0,122923,122923
315,299,13,2,4,0,3,---,---,000,82,82,0,121442,121442
307,299,21,3,4,0,2,--,--,000,82,82,0,121442,121442
316,300,13,2,4,0,3,---,---,000,82,82,0,121442,121442
308,300,21,3,4,0,2,--,--,000,81,81,0,119961,119961
317,301,13,2,4,0,3,---,---,000,80,80,0,118480,118480
309,301,21,3,4,0,2,--,--,000,81,81,0,119961,119961
318,302,13,2,4,0,3,---,---,000,82,82,0,121442,121442
310,302,21,3,4,0,2,--,--,000,83,83,0,122923,122923
319,303,13,2,4,0,3,---,---,000,83,83,0,122923,122923
311,303,21,3,4,0,2,--,--,000,82,82,0,121442,121442
320,304,13,2,4,0,3,---,---,000,84,84,0,124404,124404
312,304,21,3,4,0,2,--,--,000,84,84,0,124404,124404
321,305,13,2,4,0,3,---,---,000,81,81,0,119961,119961
313,305,21,3,4,0,2,--,--,000,81,81,0,119961,119961
322,306,13,2,4,0,3,---,---,000,83,83,0,122923,122923
314,306,21,3,4,0,2,--,--,000,83,83,0,122923,122923
323,307,13,2,4,0,3,---,---,000,84,84,0,124404,124404
315,307,21,3,4,0,2,--,--,000,84,84,0,124404,124404
324,308,13,2,4,0,3,---,---,000,82,82,0,121442,121442
316,308,21,3,4,0,2,--,--,000,82,82,0,121442,121442
325,309,13,2,4,0,3,---,---,000,83,83,0,122923,122923
317,309,21,3,4,0,2,--,--,000,83,83,0,122923,122923
326,310,13,2,4,0,3,---,---,000,82,82,0,121442,121442
