epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
102,86,1,1,3,0,3,---,---,000,1,1,0,98,98
102,86,5,1,3,0,3,---,---,000,1,1,0,98,98
94,86,9,2,3,0,2,--,--,000,1,1,0,98,98
102,86,3,1,3,0,3,---,---,000,1,1,0,98,98
102,86,7,1,3,0,3,---,---,000,1,1,0,98,98
94,86,11,2,3,0,2,--,--,000,1,1,0,98,98
79,87,22,4,3,0,2,--,--,000,1,1,0,98,98
79,87,28,4,3,0,2,--,--,000,1,1,0,98,98
71,87,24,5,3,0,3,---,---,000,1,1,0,98,98
71,87,30,5,3,0,3,---,---,000,1,1,0,98,98
71,87,31,5,3,0,3,---,---,000,1,1,0,98,98
71,87,33,5,3,0,3,---,---,000,1,1,0,98,98
103,87,1,1,3,0,3,---,---,000,1,1,0,98,98
103,87,3,1,3,0,3,---,---,000,1,1,0,98,98
103,87,5,1,3,0,3,---,---,000,1,1,0,98,98
103,87,7,1,3,0,3,---,---,000,1,1,0,98,98
95,87,9,2,3,0,2,--,--,000,1,1,0,98,98
95,87,11,2,3,0,2,--,--,000,1,1,0,98,98
95,87,13,2,3,0,2,--,--,000,2,2,0,196,196
95,87,15,2,3,0,2,--,--,000,2,2,0,196,196
1261,1245,1,1,3,0,3,---,---,000,1,1,0,98,98
87,87,17,3,3,0,1,-,-,000,2,2,0,196,196
87,87,18,3,3,0,1,-,-,000,2,2,0,196,196
79,87,20,4,3,0,2,--,--,000,2,2,0,196,196
80,88,22,4,3,0,2,--,--,000,1,1,0,98,98
72,88,24,5,3,0,3,---,---,000,1,1,0,98,98
72,88,31,5,3,0,3,---,---,000,1,1,0,98,98
1261,1245,3,1,3,0,3,---,---,000,1,1,0,98,98
79,87,26,4,3,0,2,--,--,000,2,2,0,196,196
80,88,28,4,3,0,2,--,--,000,1,1,0,98,98
72,88,30,5,3,0,3,---,---,000,1,1,0,98,98
72,88,33,5,3,0,3,---,---,000,1,1,0,98,98
1238,1246,20,4,3,0,2,--,--,000,1,1,0,98,98
1238,1246,26,4,3,0,2,--,--,000,1,1,0,98,98
1238,1246,22,4,3,0,2,--,--,000,1,1,0,98,98
1238,1247,28,4,3,0,2,--,--,000,1,1,0,98,98
1230,1246,24,5,3,0,3,---,---,000,1,1,0,98,98
1230,1247,30,5,3,0,3,---,---,000,1,1,0,98,98
1230,1246,31,5,3,0,3,---,---,000,1,1,0,98,98
