epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
102,70,1,1,5,0,5,-----,-----,000,1,1,0,98,98
102,70,5,1,5,0,5,-----,-----,000,1,1,0,98,98
94,70,7,2,5,0,4,----,----,000,1,1,0,98,98
95,71,9,2,5,0,4,----,----,000,1,1,0,98,98
87,71,11,3,5,0,3,---,---,000,1,1,0,98,98
87,71,13,3,5,0,3,---,---,000,1,1,0,98,98
79,71,15,4,5,0,2,--,--,000,1,1,0,98,98
102,70,3,1,5,0,5,-----,-----,000,1,1,0,98,98
102,70,20,1,5,0,5,-----,-----,000,1,1,0,98,98
95,70,22,2,5,0,4,----,----,000,1,1,0,98,98
95,71,24,2,5,0,4,----,----,000,1,1,0,98,98
87,71,26,3,5,0,3,---,---,000,1,1,0,98,98
87,71,28,3,5,0,3,---,---,000,1,1,0,98,98
79,71,30,4,5,0,2,--,--,000,1,1,0,98,98
104,72,3,1,5,0,5,-----,-----,000,1,1,0,98,98
181,149,3,1,5,0,5,-----,-----,000,5,5,0,7405,7405
88,72,13,3,5,0,3,---,---,000,1,1,0,98,98
182,150,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
166,150,13,3,5,0,3,---,---,000,60,60,0,88860,88860
183,151,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
167,151,13,3,5,0,3,---,---,000,83,83,0,122923,122923
184,152,3,1,5,0,5,-----,-----,000,81,81,0,119961,119961
168,152,13,3,5,0,3,---,---,000,83,83,0,122923,122923
185,153,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
169,153,13,3,5,0,3,---,---,000,82,82,0,121442,121442
186,154,3,1,5,0,5,-----,-----,000,85,85,0,125885,125885
170,154,13,3,5,0,3,---,---,000,80,80,0,118480,118480
187,155,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
171,155,13,3,5,0,3,---,---,000,82,82,0,121442,121442
188,156,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
172,156,13,3,5,0,3,---,---,000,83,83,0,122923,122923
189,157,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
173,157,13,3,5,0,3,---,---,000,81,81,0,119961,119961
190,158,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
174,158,13,3,5,0,3,---,---,000,83,83,0,122923,122923
191,159,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
175,159,13,3,5,0,3,---,---,000,81,81,0,119961,119961
192,160,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
176,160,13,3,5,0,3,---,---,000,83,83,0,122923,122923
193,161,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
177,161,13,3,5,0,3,---,---,000,80,80,0,118480,118480
194,162,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
178,162,13,3,5,0,3,---,---,000,83,83,0,122923,122923
195,163,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
179,163,13,3,5,0,3,---,---,000,82,82,0,121442,121442
196,164,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
180,164,13,3,5,0,3,---,---,000,82,82,0,121442,121442
197,165,3,1,5,0,5,-----,-----,000,81,81,0,119961,119961
181,165,13,3,5,0,3,---,---,000,83,83,0,122923,122923
198,166,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
182,166,13,3,5,0,3,---,---,000,82,82,0,121442,121442
199,167,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
183,167,13,3,5,0,3,---,---,000,82,82,0,121442,121442
200,168,3,1,5,0,5,-----,-----,000,85,85,0,125885,125885
184,168,13,3,5,0,3,---,---,000,81,81,0,119961,119961
201,169,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
185,169,13,3,5,0,3,---,---,000,81,81,0,119961,119961
202,170,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
186,170,13,3,5,0,3,---,---,000,82,82,0,121442,121442
203,171,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
187,171,13,3,5,0,3,---,---,000,83,83,0,122923,122923
204,172,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
188,172,13,3,5,0,3,---,---,000,83,83,0,122923,122923
205,173,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
189,173,13,3,5,0,3,---,---,000,82,82,0,121442,121442
206,174,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
190,174,13,3,5,0,3,---,---,000,83,83,0,122923,122923
207,175,3,1,5,0,5,-----,-----,000,86,86,0,127366,127366
191,175,13,3,5,0,3,---,---,000,81,81,0,119961,119961
208,176,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
192,176,13,3,5,0,3,---,---,000,80,80,0,118480,118480
209,177,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
193,177,13,3,5,0,3,---,---,000,81,81,0,119961,119961
210,178,3,1,5,0,5,-----,-----,000,81,81,0,119961,119961
194,178,13,3,5,0,3,---,---,000,81,81,0,119961,119961
211,179,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
195,179,13,3,5,0,3,---,---,000,81,81,0,119961,119961
212,180,3,1,5,0,5,-----,-----,000,84,84,0,124404,124404
196,180,13,3,5,0,3,---,---,000,82,82,0,121442,121442
213,181,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
197,181,13,3,5,0,3,---,---,000,82,82,0,121442,121442
214,182,3,1,5,0,5,-----,-----,000,83,83,0,122923,122923
198,182,13,3,5,0,3,---,---,000,83,83,0,122923,122923
215,183,3,1,5,0,5,-----,-----,000,82,82,0,121442,121442
199,183,13,3,5,0,3,---,---,000,83,83,0,122923,122923
