epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
119,127,6,2,1,0,2,--,--,000,1,1,0,98,98
119,127,30,2,1,0,2,--,--,000,1,1,0,98,98
111,127,8,3,1,0,2,--,--,000,1,1,0,98,98
111,127,32,3,1,0,2,--,--,000,1,1,0,98,98
111,127,10,3,1,0,2,--,--,000,1,1,0,98,98
111,127,34,3,1,0,2,--,--,000,1,1,0,98,98
103,127,12,4,1,0,3,---,---,000,1,1,0,98,98
103,127,36,4,1,0,3,---,---,000,1,1,0,98,98
103,127,14,4,1,0,3,---,---,000,1,1,0,98,98
103,127,38,4,1,0,3,---,---,000,1,1,0,98,98
95,127,16,5,1,0,3,---,---,000,1,1,0,98,98
95,127,40,5,1,0,3,---,---,000,1,1,0,98,98
95,127,18,5,1,0,3,---,---,000,1,1,0,98,98
95,127,41,5,1,0,3,---,---,000,1,1,0,98,98
87,127,20,6,1,0,4,----,----,000,1,1,0,98,98
87,127,43,6,1,0,4,----,----,000,1,1,0,98,98
87,127,22,6,1,0,4,----,----,000,1,1,0,98,98
87,127,45,6,1,0,4,----,----,000,1,1,0,98,98
79,127,24,7,1,0,4,----,----,000,1,1,0,98,98
79,127,47,7,1,0,4,----,----,000,1,1,0,98,98
79,127,26,7,1,0,4,----,----,000,1,1,0,98,98
79,127,49,7,1,0,4,----,----,000,1,1,0,98,98
127,127,1,1,1,0,1,-,-,000,2,2,0,196,196
127,127,2,1,1,0,1,-,-,000,2,2,0,196,196
119,127,4,2,1,0,2,--,--,000,2,2,0,196,196
120,128,6,2,1,0,2,--,--,000,1,1,0,98,98
112,128,8,3,1,0,2,--,--,000,1,1,0,98,98
112,128,10,3,1,0,2,--,--,000,1,1,0,98,98
105,129,12,4,1,0,3,---,---,000,1,1,0,98,98
105,129,14,4,1,0,3,---,---,000,1,1,0,98,98
97,129,16,5,1,0,3,---,---,000,1,1,0,98,98
98,130,18,5,1,0,3,---,---,000,1,1,0,98,98
90,130,20,6,1,0,4,----,----,000,1,1,0,98,98
90,130,22,6,1,0,4,----,----,000,1,1,0,98,98
82,131,24,7,1,0,4,----,----,000,1,1,0,98,98
83,131,26,7,1,0,4,----,----,000,1,1,0,98,98
119,127,28,2,1,0,2,--,--,000,2,2,0,196,196
120,128,30,2,1,0,2,--,--,000,1,1,0,98,98
112,128,32,3,1,0,2,--,--,000,1,1,0,98,98
112,128,34,3,1,0,2,--,--,000,1,1,0,98,98
105,129,36,4,1,0,3,---,---,000,1,1,0,98,98
105,129,38,4,1,0,3,---,---,000,1,1,0,98,98
97,129,40,5,1,0,3,---,---,000,1,1,0,98,98
98,130,41,5,1,0,3,---,---,000,1,1,0,98,98
90,130,43,6,1,0,4,----,----,000,1,1,0,98,98
90,130,45,6,1,0,4,----,----,000,1,1,0,98,98
83,131,47,7,1,0,4,----,----,000,1,1,0,98,98
83,131,49,7,1,0,4,----,----,000,1,1,0,98,98
1281,1289,4,2,1,0,2,--,--,000,1,1,0,98,98
1281,1289,28,2,1,0,2,--,--,000,1,1,0,98,98
1281,1289,6,2,1,0,2,--,--,000,1,1,0,98,98
1281,1289,30,2,1,0,2,--,--,000,1,1,0,98,98
1273,1289,8,3,1,0,2,--,--,000,1,1,0,98,98
1273,1289,32,3,1,0,2,--,--,000,1,1,0,98,98
1273,1289,10,3,1,0,2,--,--,000,1,1,0,98,98
1273,1290,34,3,1,0,2,--,--,000,1,1,0,98,98
1265,1289,12,4,1,0,3,---,---,000,1,1,0,98,98
1265,1290,36,4,1,0,3,---,---,000,1,1,0,98,98
1265,1289,14,4,1,0,3,---,---,000,1,1,0,98,98
1265,1290,38,4,1,0,3,---,---,000,1,1,0,98,98
1257,1289,16,5,1,0,3,---,---,000,1,1,0,98,98
1257,1290,40,5,1,0,3,---,---,000,1,1,0,98,98
1257,1289,18,5,1,0,3,---,---,000,1,1,0,98,98
1258,1290,41,5,1,0,3,---,---,000,1,1,0,98,98
1249,1289,20,6,1,0,4,----,----,000,1,1,0,98,98
1249,1290,43,6,1,0,4,----,----,000,1,1,0,98,98
1249,1289,22,6,1,0,4,----,----,000,1,1,0,98,98
1250,1290,45,6,1,0,4,----,----,000,1,1,0,98,98
1241,1289,24,7,1,0,4,----,----,000,1,1,0,98,98
1241,1290,47,7,1,0,4,----,----,000,1,1,0,98,98
1241,1289,26,7,1,0,4,----,----,000,1,1,0,98,98
1242,1290,49,7,1,0,4,----,----,000,1,1,0,98,98
