epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
127,79,1,1,7,0,4,----,----,000,1,1,0,98,98
127,79,18,1,7,0,4,----,----,000,1,1,0,98,98
120,79,20,2,7,0,4,----,----,000,1,1,0,98,98
120,80,22,2,7,0,4,----,----,000,1,1,0,98,98
112,80,24,3,7,0,3,---,---,000,1,1,0,98,98
113,80,26,3,7,0,3,---,---,000,1,1,0,98,98
105,81,28,4,7,0,3,---,---,000,1,1,0,98,98
105,81,30,4,7,0,3,---,---,000,1,1,0,98,98
97,81,32,5,7,0,2,--,--,000,1,1,0,98,98
98,82,5,5,7,0,2,--,--,000,1,1,0,98,98
90,82,9,6,7,0,2,--,--,000,1,1,0,98,98
90,82,13,6,7,0,2,--,--,000,1,1,0,98,98
127,79,3,1,7,0,4,----,----,000,1,1,0,98,98
127,79,36,1,7,0,4,----,----,000,1,1,0,98,98
120,79,38,2,7,0,4,----,----,000,1,1,0,98,98
120,80,40,2,7,0,4,----,----,000,1,1,0,98,98
112,80,42,3,7,0,3,---,---,000,1,1,0,98,98
113,80,44,3,7,0,3,---,---,000,1,1,0,98,98
105,81,46,4,7,0,3,---,---,000,1,1,0,98,98
105,81,48,4,7,0,3,---,---,000,1,1,0,98,98
98,81,50,5,7,0,2,--,--,000,1,1,0,98,98
98,82,7,5,7,0,2,--,--,000,1,1,0,98,98
90,82,11,6,7,0,2,--,--,000,1,1,0,98,98
115,83,26,3,7,0,3,---,---,000,1,1,0,98,98
193,161,26,3,7,0,3,---,---,000,51,51,0,75531,75531
194,162,26,3,7,0,3,---,---,000,55,55,0,81455,81455
131,83,3,1,7,0,4,----,----,000,1,1,0,98,98
211,163,3,1,7,0,4,----,----,000,88,88,0,130328,130328
195,163,26,3,7,0,3,---,---,000,55,55,0,81455,81455
212,164,3,1,7,0,4,----,----,000,164,164,0,242884,242884
196,164,26,3,7,0,3,---,---,000,54,54,0,79974,79974
213,165,3,1,7,0,4,----,----,000,168,168,0,248808,248808
197,165,26,3,7,0,3,---,---,000,56,56,0,82936,82936
214,166,3,1,7,0,4,----,----,000,166,166,0,245846,245846
198,166,26,3,7,0,3,---,---,000,55,55,0,81455,81455
215,167,3,1,7,0,4,----,----,000,166,166,0,245846,245846
199,167,26,3,7,0,3,---,---,000,57,57,0,84417,84417
216,168,3,1,7,0,4,----,----,000,166,166,0,245846,245846
200,168,26,3,7,0,3,---,---,000,55,55,0,81455,81455
217,169,3,1,7,0,4,----,----,000,167,167,0,247327,247327
201,169,26,3,7,0,3,---,---,000,56,56,0,82936,82936
218,170,3,1,7,0,4,----,----,000,166,166,0,245846,245846
202,170,26,3,7,0,3,---,---,000,54,54,0,79974,79974
219,171,3,1,7,0,4,----,----,000,165,165,0,244365,244365
203,171,26,3,7,0,3,---,---,000,57,57,0,84417,84417
220,172,3,1,7,0,4,----,----,000,168,168,0,248808,248808
204,172,26,3,7,0,3,---,---,000,54,54,0,79974,79974
221,173,3,1,7,0,4,----,----,000,166,166,0,245846,245846
205,173,26,3,7,0,3,---,---,000,56,56,0,82936,82936
222,174,3,1,7,0,4,----,----,000,165,165,0,244365,244365
206,174,26,3,7,0,3,---,---,000,55,55,0,81455,81455
223,175,3,1,7,0,4,----,----,000,166,166,0,245846,245846
207,175,26,3,7,0,3,---,---,000,56,56,0,82936,82936
224,176,3,1,7,0,4,----,----,000,169,169,0,250289,250289
208,176,26,3,7,0,3,---,---,000,55,55,0,81455,81455
225,177,3,1,7,0,4,----,----,000,166,166,0,245846,245846
209,177,26,3,7,0,3,---,---,000,56,56,0,82936,82936
226,178,3,1,7,0,4,----,----,000,166,166,0,245846,245846
210,178,26,3,7,0,3,---,---,000,57,57,0,84417,84417
227,179,3,1,7,0,4,----,----,000,165,165,0,244365,244365
211,179,26,3,7,0,3,---,---,000,54,54,0,79974,79974
228,180,3,1,7,0,4,----,----,000,163,163,0,241403,241403
212,180,26,3,7,0,3,---,---,000,55,55,0,81455,81455
229,181,3,1,7,0,4,----,----,000,167,167,0,247327,247327
213,181,26,3,7,0,3,---,---,000,56,56,0,82936,82936
230,182,3,1,7,0,4,----,----,000,163,163,0,241403,241403
214,182,26,3,7,0,3,---,---,000,55,55,0,81455,81455
231,183,3,1,7,0,4,----,----,000,168,168,0,248808,248808
215,183,26,3,7,0,3,---,---,000,55,55,0,81455,81455
232,184,3,1,7,0,4,----,----,000,168,168,0,248808,248808
216,184,26,3,7,0,3,---,---,000,55,55,0,81455,81455
233,185,3,1,7,0,4,----,----,000,166,166,0,245846,245846
217,185,26,3,7,0,3,---,---,000,55,55,0,81455,81455
234,186,3,1,7,0,4,----,----,000,167,167,0,247327,247327
218,186,26,3,7,0,3,---,---,000,55,55,0,81455,81455
235,187,3,1,7,0,4,----,----,000,166,166,0,245846,245846
219,187,26,3,7,0,3,---,---,000,55,55,0,81455,81455
236,188,3,1,7,0,4,----,----,000,165,165,0,244365,244365
