epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
127,87,1,1,6,0,4,----,----,000,1,1,0,98,98
127,87,10,1,6,0,4,----,----,000,1,1,0,98,98
119,87,12,2,6,0,3,---,---,000,1,1,0,98,98
120,88,14,2,6,0,3,---,---,000,1,1,0,98,98
112,88,16,3,6,0,4,----,----,000,1,1,0,98,98
112,88,18,3,6,0,4,----,----,000,1,1,0,98,98
105,89,20,4,6,0,2,--,--,000,1,1,0,98,98
105,89,22,4,6,0,2,--,--,000,1,1,0,98,98
97,89,24,5,6,0,3,---,---,000,1,1,0,98,98
127,87,3,1,6,0,4,----,----,000,1,1,0,98,98
127,87,32,1,6,0,4,----,----,000,1,1,0,98,98
120,87,34,2,6,0,3,---,---,000,1,1,0,98,98
120,88,36,2,6,0,3,---,---,000,1,1,0,98,98
112,88,38,3,6,0,4,----,----,000,1,1,0,98,98
112,88,40,3,6,0,4,----,----,000,1,1,0,98,98
105,89,42,4,6,0,2,--,--,000,1,1,0,98,98
105,89,44,4,6,0,2,--,--,000,1,1,0,98,98
97,89,46,5,6,0,3,---,---,000,1,1,0,98,98
82,90,28,7,6,0,2,--,--,000,1,1,0,98,98
82,91,48,7,6,0,2,--,--,000,1,1,0,98,98
82,90,30,7,6,0,2,--,--,000,1,1,0,98,98
82,91,50,7,6,0,2,--,--,000,1,1,0,98,98
106,90,20,4,6,0,2,--,--,000,1,1,0,98,98
188,172,20,4,6,0,2,--,--,000,152,152,0,225112,225112
189,173,20,4,6,0,2,--,--,000,164,164,0,242884,242884
190,174,20,4,6,0,2,--,--,000,169,169,0,250289,250289
191,175,20,4,6,0,2,--,--,000,165,165,0,244365,244365
192,176,20,4,6,0,2,--,--,000,167,167,0,247327,247327
193,177,20,4,6,0,2,--,--,000,167,167,0,247327,247327
194,178,20,4,6,0,2,--,--,000,165,165,0,244365,244365
195,179,20,4,6,0,2,--,--,000,165,165,0,244365,244365
196,180,20,4,6,0,2,--,--,000,166,166,0,245846,245846
197,181,20,4,6,0,2,--,--,000,168,168,0,248808,248808
198,182,20,4,6,0,2,--,--,000,165,165,0,244365,244365
199,183,20,4,6,0,2,--,--,000,166,166,0,245846,245846
200,184,20,4,6,0,2,--,--,000,168,168,0,248808,248808
201,185,20,4,6,0,2,--,--,000,168,168,0,248808,248808
202,186,20,4,6,0,2,--,--,000,164,164,0,242884,242884
203,187,20,4,6,0,2,--,--,000,167,167,0,247327,247327
204,188,20,4,6,0,2,--,--,000,164,164,0,242884,242884
205,189,20,4,6,0,2,--,--,000,163,163,0,241403,241403
